sku,brand,title,product_type,product_type_id,category_id,category_l1,category_l2,category_l3
MEGP-3030268,,Bubble Roll STR70 1.5 X 150 m,Bubble & Stretch Film,bubble-and-stretch-film,catering-and-food-packaging/bags-and-wrapping/bubble-and-stretch-film,Catering & Food Packaging,Bags & Wrapping,Bubble & Stretch Film
PHIL-030029/P94,,"Stretch Film For Palettes 23m, Black",Bubble & Stretch Film,bubble-and-stretch-film,catering-and-food-packaging/bags-and-wrapping/bubble-and-stretch-film,Catering & Food Packaging,Bags & Wrapping,Bubble & Stretch Film
ATH-THAL-CLING-FILM,,Cling Film 250m x 45cm,Cling Film & Baking Paper,cling-film-and-baking-paper,catering-and-food-packaging/bags-and-wrapping/cling-film-and-baking-paper,Catering & Food Packaging,Bags & Wrapping,Cling Film & Baking Paper
CHM-2501202,,Baking Paper 45cm X 100cm with Cutter,Cling Film & Baking Paper,cling-film-and-baking-paper,catering-and-food-packaging/bags-and-wrapping/cling-film-and-baking-paper,Catering & Food Packaging,Bags & Wrapping,Cling Film & Baking Paper
CHM-AKCUT457,,Cling Film 45cm x 600m,Cling Film & Baking Paper,cling-film-and-baking-paper,catering-and-food-packaging/bags-and-wrapping/cling-film-and-baking-paper,Catering & Food Packaging,Bags & Wrapping,Cling Film & Baking Paper
HC-1311,,Cling Film 45cm x 300m,Cling Film & Baking Paper,cling-film-and-baking-paper,catering-and-food-packaging/bags-and-wrapping/cling-film-and-baking-paper,Catering & Food Packaging,Bags & Wrapping,Cling Film & Baking Paper
CHM-AHCAR003,,Paper Bags with Handles (22x10x29) x250,Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CHM-AHCAR170,,Paper Bags with Handles (28x17x29) x250,Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CHM-AHKRA152,,"Paper Bags 15x25, Kraft x1000",Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CHM-AHKRA174/AHKRA170,,"Paper Bags (18x33) x1500, White",Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CSOL-PBA9.5*18GRPR,,"Paper Bags Grease-Proof 45gsm 7x18, White x3100",Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CSOL-PBA922-GRPR,,"Paper Bags Grease-Proof 45gsm 9x22, White x2800",Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
CSOL-PBASOS-C,,SOS Paper Bags Kraft Brown (21.5x12x30) x250,Paper Bag,paper-bag,catering-and-food-packaging/bags-and-wrapping/paper-bags,Catering & Food Packaging,Bags & Wrapping,Paper Bags
